timestamp_ms,angle_rad,velocity,wheel_vel,pwm,is_valid
1245963.0,0.0449,0.0753,24.7646,255.0,1
1245975.0,0.046,0.0513,41.9666,255.0,1
1245985.0,0.046,0.0305,35.8483,245.2,1
1245995.0,0.0449,-0.0011,30.7868,226.8,1
1246003.0,0.0449,-0.0654,25.4691,189.84,1
1246014.0,0.0439,-0.1625,22.2003,147.55,1
1246025.0,0.0406,-0.1484,20.6267,129.85,1
1246035.0,0.0384,-0.192,18.1944,105.95,1
1246045.0,0.0362,-0.2247,16.1822,74.02,1
1246054.0,0.0362,-0.2203,15.6481,76.65,1
1246064.0,0.0329,-0.2411,15.2062,58.79,1
1246075.0,0.0297,-0.2378,14.8407,-45.78,1
1246085.0,0.0275,-0.192,13.4078,62.48,1
1246095.0,0.0253,-0.1942,12.2224,45.79,1
1246104.0,0.0253,-0.1909,12.3723,47.85,1
1246114.0,0.0242,-0.1429,12.4962,79.35,1
1246125.0,0.022,-0.1102,12.5988,74.21,1
1246135.0,0.0209,-0.0513,12.6836,99.82,1
1246145.0,0.0209,-0.0382,12.7538,106.79,1
1246155.0,0.0209,-0.0033,11.6814,124.53,1
1246165.0,0.0209,0.0371,11.9247,146.04,1
1246175.0,0.022,0.0305,12.126,150.36,1
1246185.0,0.022,0.0502,11.162,155.59,1
1246196.0,0.0231,0.0753,11.495,172.79,1
1246204.0,0.0231,0.0753,11.7705,173.03,1
1246215.0,0.0242,0.0709,11.9984,177.49,1
1246225.0,0.0253,0.0993,13.3174,197.02,1
1246235.0,0.0264,0.0949,14.4087,196.91,1
1246246.0,0.0275,0.0971,14.1809,203.49,1
1246254.0,0.0275,0.0971,13.9924,202.36,1
1246264.0,0.0286,0.0829,14.9671,198.72,1
1246276.0,0.0286,0.0578,15.7733,190.61,1
1246286.0,0.0297,0.0185,16.4404,176.03,1
1246296.0,0.0297,0.0022,16.9921,166.39,1
1246306.0,0.0297,-0.0076,17.4486,160.24,1
1246316.0,0.0297,-0.0076,18.9568,161.32,1
1246326.0,0.0286,-0.0393,20.2044,137.9,1
1246336.0,0.0286,-0.0295,21.2366,142.1,1
1246346.0,0.0286,-0.0196,20.9599,151.56,1
1246356.0,0.0286,-0.0109,20.7311,151.46,1
1246366.0,0.0286,-0.0065,22.8027,155.15,1
1246376.0,0.0286,-0.0098,24.5166,156.88,1
1246386.0,0.0286,0.0,24.8039,157.31,1
1246396.0,0.0286,0.0087,25.0416,163.05,1
1246406.0,0.0286,0.0065,25.2382,164.19,1
1246416.0,0.0286,0.0262,25.4009,172.78,1
1246426.0,0.0286,0.0415,26.6659,178.38,1
1246436.0,0.0286,0.0436,27.7125,182.94,1
1246446.0,0.0297,0.0469,27.4478,190.83,1
1246455.0,0.0297,0.0469,28.3593,185.2,1
1246465.0,0.0308,0.0382,29.1134,185.6,1
1246476.0,0.0308,0.0273,29.7372,183.6,1
1246486.0,0.0308,0.012,31.3837,175.86,1
1246496.0,0.0308,0.0316,31.6154,182.39,1
1246505.0,0.0308,0.0316,31.807,187.94,1
1246516.0,0.0308,0.0218,33.0961,178.46,1
1246526.0,0.0308,0.0087,34.1625,179.49,1
