timestamp_ms,angle_rad,velocity,wheel_vel,pwm,is_valid,user_free
36524.80952380953,0.2499952380952381,-0.011504761904761905,926.9525333333333,255.0,0,0
39109.208616780044,0.22922426303854876,-0.004275736961451247,2293.0872634920634,255.0,0,0
42616.60738581147,0.20103508260447037,0.005535082604470358,4147.127254421768,255.0,0,0
46625.06312184738,0.16881887639409507,0.01674744782266648,6266.030101198574,255.0,1,0
50681.23856902657,0.13621914391931053,0.02809329357917446,8410.157981865581,255.0,1,0
54389.741835018984,0.10641367422807896,0.0384666382708389,10370.50347276113,255.0,1,0
57480.16122334599,0.0815757828187193,0.04711109218055926,12004.124715174086,255.0,1,0
59834.76647159514,0.06265167507825481,0.053697342778441445,13248.788518917292,255.0,1,0
61474.580840911505,0.04947238575900275,0.05828419587339511,14115.607953667024,255.0,1,0
62515.73282142984,0.04110458301662049,0.061196483552730774,14665.96949953987,255.0,1,0
63115.634676871356,0.03628313476981928,0.06287451597749084,14983.082580733271,255.0,1,0
63427.27200437344,0.033778486329922544,0.06374622113321037,15147.816648885688,255.0,1,0
63571.96076357083,0.03261561383997049,0.06415094138408013,15224.300323385025,255.0,1,0
63631.32025452361,0.03213853794665683,0.06431698046136004,15255.678241128342,255.0,1,0
63652.52007272103,0.03196815369904481,0.06437628013181715,15266.884640322383,255.0,1,0
63658.98096969548,0.03191622707120114,0.06439435241233742,15270.299923886283,255.0,1,0
63660.61542279914,0.031903090870704975,0.06439892426901665,15271.163909311674,255.0,1,0
63660.94506039988,0.031900441552957855,0.06439984632414524,15271.338158473096,255.0,1,0
63660.99476765713,0.03190004205266265,0.06439998536420431,15271.364434140296,255.0,1,0
63660.99975084081,0.03190000200250774,0.06439999930305734,15271.367068292395,255.0,1,0
63661.0,0.0319,0.0644,15271.3672,255.0,1,0
63669.0,0.0319,0.0731,27713.3477,-255.0,1,0
63679.0,0.0319,0.0764,22926.4746,255.0,1,0
63691.0,0.034,0.0884,18966.4297,255.0,1,0
63701.0,0.034,0.0742,15690.3945,255.0,1,0
63711.0,0.0351,0.0295,12980.2227,255.0,1,0
63719.0,0.0351,0.132,10739.3037,255.0,1,0
63730.0,0.0362,0.0327,8885.4541,255.0,1,0
63741.0,0.0351,-0.144,7350.6865,255.0,1,0
63751.0,0.034,0.0535,6082.1475,255.0,1,0
63761.0,0.0329,-0.0687,5033.8511,255.0,1,0
63769.0,0.0329,-0.1844,4166.6245,255.0,1,0
63779.0,0.0308,-0.1374,3449.1929,255.0,1,0
63791.0,0.0275,-0.1276,2856.8123,255.0,1,0
63801.0,0.0264,-0.1931,2366.7522,-255.0,1,0
63812.0,0.0253,-0.18,1961.3391,-255.0,1,0
63820.0,0.0253,-0.1516,1625.9524,255.0,1,0
63830.0,0.0231,-0.1636,1348.4963,255.0,1,0
63841.0,0.022,-0.1549,1118.9647,255.0,1,0
63852.0,0.0231,0.0284,929.0797,255.0,1,0
63862.0,0.0209,0.0764,771.993,255.0,1,0
63870.0,0.0209,-0.2793,642.0397,-255.0,1,0
63880.0,0.0209,-0.0415,535.6634,241.04,1,0
63892.0,0.0209,0.1309,447.6613,255.0,1,0
63902.0,0.0188,-0.0884,374.8597,125.93,1,0
63912.0,0.0209,-0.2073,314.6329,-103.78,1,0
63920.0,0.0209,0.2334,264.809,255.0,1,0
63931.0,0.0209,0.0731,223.5911,179.59,1,0
63942.0,0.0209,-0.216,189.4926,-84.51,1,0
63952.0,0.0242,0.2083,162.4144,255.0,1,0
63962.0,0.0253,0.384,140.0134,255.0,1,0
63970.0,0.0253,0.0273,120.3512,180.85,1,0
63981.0,0.0253,0.0404,105.2157,165.54,1,0
63992.0,0.0319,0.3872,93.825,255.0,1,0
64002.0,0.0319,0.2956,84.4018,255.0,1,0
64012.0,0.034,-0.0567,75.4757,163.24,1,0
64020.0,0.034,0.2803,68.0915,255.0,1,0
64031.0,0.0373,0.3272,64.2437,255.0,1,0
64042.0,0.0373,0.0654,61.0605,225.69,1,0
64052.0,0.0395,-0.0469,57.2967,178.57,1,0
64062.0,0.0417,0.2596,54.1829,255.0,1,0
64072.0,0.0395,0.1484,52.7375,255.0,1,0
64082.0,0.0406,-0.1385,51.5418,150.45,1,0
64092.0,0.0417,0.0698,50.5526,244.92,1,0
64102.0,0.0417,0.1451,50.8648,255.0,1,0
64113.0,0.0406,-0.0011,51.123,206.08,1,0
64122.0,0.0417,-0.1538,51.3367,147.0,1,0
64132.0,0.0417,0.1309,51.5134,255.0,1,0
64142.0,0.0406,0.0316,52.7901,229.36,1,0
64152.0,0.0406,-0.1985,53.8463,106.47,1,0
64163.0,0.0406,-0.0142,54.7201,202.4,1,0
64173.0,0.0395,0.0371,55.4429,221.64,1,0
64182.0,0.0373,-0.1276,56.0409,129.84,1,0
64193.0,0.0373,-0.2345,56.5356,83.09,1,0
64203.0,0.0373,0.0687,56.9448,227.93,1,0
64213.0,0.0351,-0.0404,58.4139,165.16,1,0
64223.0,0.0351,-0.2411,59.6292,67.3,1,0
64233.0,0.0362,0.0022,60.6346,191.24,1,0
64243.0,0.0362,0.1385,61.4663,255.0,1,0
64253.0,0.0351,-0.0556,62.1544,159.6,1,0
64263.0,0.0373,-0.072,62.7236,159.17,1,0
64273.0,0.0384,0.2596,63.1945,255.0,1,0
64283.0,0.0373,0.0862,63.5841,238.63,1,0
64293.0,0.0384,-0.0611,63.9063,171.59,1,0
64303.0,0.0417,0.1091,65.3034,255.0,1,0
64313.0,0.0406,0.2585,66.4592,255.0,1,0
64322.0,0.0406,-0.0393,67.4154,204.83,1,0
64333.0,0.0417,-0.0982,69.3369,189.43,1,0
64343.0,0.0428,0.2127,70.9265,255.0,1,0
64353.0,0.0417,0.108,72.2415,255.0,1,0
64363.0,0.0417,-0.1538,73.3294,133.48,1,0
64372.0,0.0417,0.0153,74.2294,225.14,1,0
64382.0,0.0428,0.1265,74.9739,255.0,1,0
64393.0,0.0406,-0.0687,75.5899,190.83,1,0
64403.0,0.0406,-0.2062,77.2299,126.65,1,0
64414.0,0.0417,0.0774,79.7172,246.59,1,0
64422.0,0.0417,0.0229,81.7748,220.81,1,0
64432.0,0.0384,-0.2443,82.3465,100.36,1,0
64443.0,0.0395,-0.0513,82.8195,173.69,1,0
64453.0,0.0373,0.0589,84.3413,221.52,1,0
64464.0,0.0351,-0.1287,84.4697,150.46,1,0
64472.0,0.0351,-0.2738,85.7065,44.47,1,0
64482.0,0.0351,0.0415,87.8601,203.75,1,0
64493.0,0.034,0.036,88.5112,197.92,1,0
64503.0,0.0329,-0.2171,89.0499,74.31,1,0
64514.0,0.034,-0.096,89.4955,148.62,1,0
64522.0,0.034,0.1331,89.8642,246.17,1,0
64533.0,0.0319,-0.0436,90.1691,194.15,1,0
64544.0,0.0319,-0.2029,91.5519,65.61,1,0
64554.0,0.0329,0.0284,92.6959,191.72,1,0
64564.0,0.0319,0.1124,93.6422,226.15,1,0
64573.0,0.0319,-0.132,94.4251,122.08,1,0
64583.0,0.0308,-0.1036,95.0728,116.09,1,0
64594.0,0.0319,-0.0044,95.6086,169.03,1,0
64604.0,0.0308,-0.2051,96.0518,65.43,1,0
64614.0,0.0297,-0.0153,96.4185,156.86,1,0
64623.0,0.0297,-0.0153,96.7219,169.09,1,0
64633.0,0.0308,0.1265,98.1033,231.96,1,0
64644.0,0.0297,-0.096,98.1157,123.37,1,0
64654.0,0.0308,0.0873,98.1259,212.85,1,0
64664.0,0.0308,0.0044,99.2648,172.13,1,0
64673.0,0.0297,0.0044,100.207,168.36,1,0
64683.0,0.0297,-0.0796,100.9865,159.3,1,0
64694.0,0.0308,0.1145,101.6313,224.34,1,0
64704.0,0.0297,-0.0742,102.1648,135.18,1,0
64714.0,0.0297,-0.0535,102.6061,136.99,1,0
64723.0,0.0297,-0.0535,102.9712,137.97,1,0
64734.0,0.0297,0.012,104.4037,171.56,1,0
64744.0,0.0286,-0.0545,105.5888,158.71,1,0
64754.0,0.0286,0.048,105.4387,183.17,1,0
64764.0,0.0286,0.0033,105.3145,161.83,1,0
64773.0,0.0286,0.0033,105.2118,174.18,1,0
64784.0,0.0286,-0.036,106.2573,146.42,1,0
64794.0,0.0286,0.0098,108.2527,165.56,1,0
64804.0,0.0286,-0.0065,108.773,158.21,1,0
64815.0,0.0286,0.0175,108.0729,174.98,1,0
64824.0,0.0297,0.0175,108.6242,175.14,1,0
64834.0,0.0297,0.0371,109.0803,185.51,1,0
64845.0,0.0297,0.0185,109.4576,176.68,1,0
64855.0,0.0297,0.0164,109.7697,182.24,1,0
64865.0,0.0297,0.012,110.028,173.22,1,0
64874.0,0.0297,0.012,111.3721,175.8,1,0
64884.0,0.0308,0.012,111.3536,178.1,1,0
64895.0,0.0308,-0.0022,111.3382,171.31,1,0
64905.0,0.0308,0.0022,112.456,173.82,1,0
64915.0,0.0308,0.0,113.3808,173.0,1,0
64924.0,0.0308,0.0,114.1458,175.31,1,0
64934.0,0.0308,0.0164,113.6481,181.21,1,0
64945.0,0.0319,0.0196,113.2365,187.35,1,0
64955.0,0.0319,0.0196,114.0264,187.54,1,0
64965.0,0.0319,0.0076,115.8104,183.87,1,0
64974.0,0.0319,0.0076,117.2862,181.7,1,0
64984.0,0.0319,0.0033,117.3767,179.65,1,0
64995.0,0.0319,0.0447,117.4515,200.49,1,0
65005.0,0.0329,0.0305,117.5133,197.85,1,0
65015.0,0.0329,0.0262,117.5645,195.74,1,0
65024.0,0.0329,0.0262,118.7374,200.08,1,0
65035.0,0.0329,0.0251,119.7077,194.91,1,0
65045.0,0.0329,0.0251,119.3798,195.04,1,0
65055.0,0.034,0.0513,120.2391,223.15,1,0
65065.0,0.034,-0.0033,122.0805,184.26,1,0
65075.0,0.034,-0.0033,122.4733,184.65,1,0
65085.0,0.034,0.0218,122.7983,197.51,1,0
65095.0,0.034,-0.0055,123.0671,187.28,1,0
65105.0,0.034,0.048,123.2895,210.65,1,1
65116.0,0.034,-0.0262,124.604,173.9,1,1
65125.0,0.034,-0.0262,125.6915,188.84,1,1
65135.0,0.034,-0.0033,126.5911,183.91,1,1
65145.0,0.034,-0.0033,127.3353,187.63,1,1
65156.0,0.034,0.0273,127.951,199.8,1,1
65166.0,0.034,0.0316,129.5908,202.54,1,1
65175.0,0.034,0.0316,130.9474,204.03,1,1
65185.0,0.034,-0.0065,130.9391,185.08,1,1
65196.0,0.034,-0.0087,130.9323,183.04,1,1
65206.0,0.034,0.0305,130.9267,202.91,1,1
65216.0,0.0351,0.0436,132.0526,217.23,1,1
65225.0,0.0351,0.0436,132.9839,217.04,1,1
65235.0,0.034,-0.0524,132.6239,161.3,1,1
65246.0,0.034,-0.012,133.4566,181.8,1,1
65256.0,0.034,0.0327,135.276,204.51,1,1
65266.0,0.034,0.0076,136.7811,192.26,1,1
65275.0,0.034,0.0076,136.8957,197.64,1,1
65285.0,0.0329,-0.0731,136.9905,147.1,1,1
65296.0,0.0329,-0.0098,138.1995,179.06,1,1
65306.0,0.034,0.0611,139.1996,219.15,1,1
65316.0,0.0329,-0.0295,140.027,176.02,1,1
65326.0,0.0329,-0.0415,139.5809,162.98,1,1
65336.0,0.0319,-0.0742,140.3425,142.59,1,1
65346.0,0.0329,0.0273,142.1029,198.04,1,1
65356.0,0.0329,0.0905,142.4288,247.68,1,1
65366.0,0.0329,-0.0753,142.6984,152.1,1,1
65376.0,0.0319,-0.0753,142.9214,140.04,1,1
65386.0,0.0319,-0.0196,144.2365,168.64,1,1
65396.0,0.0329,0.0611,145.3244,216.09,1,1
65406.0,0.0329,0.0196,145.0938,200.73,1,1
65417.0,0.0319,-0.06,144.9031,158.06,1,1
65426.0,0.0319,-0.06,145.8758,174.16,1,1
65436.0,0.0319,0.0229,147.811,186.79,1,1
65446.0,0.0319,0.0796,148.2815,234.23,1,1
65457.0,0.0319,-0.0676,148.6707,141.45,1,1
65467.0,0.0308,-0.0491,148.9926,147.65,1,1
65476.0,0.0308,-0.0491,149.259,148.69,1,1
65486.0,0.0319,0.0436,150.6098,228.63,1,1
65497.0,0.0319,-0.0185,150.5968,198.61,1,1
65507.0,0.0308,-0.0273,150.5861,154.37,1,1
65517.0,0.0308,-0.0316,152.8382,154.29,1,1
65526.0,0.0319,-0.0316,153.5708,182.23,1,1
65537.0,0.0319,-0.0109,153.0464,183.49,1,1
65547.0,0.0308,-0.024,153.7431,157.59,1,1
65557.0,0.0329,-0.0207,154.3194,179.07,1,1
65567.0,0.034,0.0829,154.7962,237.45,1,1
65577.0,0.034,-0.0284,155.1906,176.39,1,1
65587.0,0.034,-0.012,155.5169,178.83,1,1
65597.0,0.034,0.0218,156.9173,202.36,1,1
65607.0,0.0351,0.0753,158.0759,228.63,1,1
65617.0,0.0351,-0.0098,157.9038,190.16,1,1
65627.0,0.034,-0.0251,158.8919,175.45,1,1
65637.0,0.034,-0.0218,159.7094,177.86,1,1
65647.0,0.0351,0.0916,160.3857,255.0,1,1
65657.0,0.0351,-0.0055,160.9451,195.44,1,1
65667.0,0.0351,-0.0404,161.4079,171.74,1,1
65677.0,0.0351,-0.0044,162.9213,198.06,1,1
65687.0,0.0351,0.0611,163.0428,229.44,1,1
65697.0,0.0351,-0.0142,163.1433,194.86,1,1
65707.0,0.0351,-0.0382,164.3569,173.05,1,1
65718.0,0.0351,-0.0196,165.361,183.28,1,1
65727.0,0.0329,0.0393,166.1915,204.78,1,1
65737.0,0.0319,-0.0567,166.8787,156.19,1,1
65747.0,0.0319,-0.0273,167.4471,167.85,1,1
