timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
742.498,-0.0041,0.0349,-0.0361,9563.7934,128.57,1
742.508,-0.0052,-0.0764,-0.0143,9566.1496,-117.06,1
742.519,-0.002,0.2891,0.0176,9568.5058,255.0,1
742.528,-0.002,0.2891,-0.0316,9570.862,255.0,1
742.538,-0.0009,0.084,0.0178,9573.2182,192.04,1
742.549,0.0013,0.2214,0.0161,9575.5744,255.0,1
742.559,0.0002,-0.1014,-0.0367,9577.9306,-117.33,1
742.569,0.0013,0.1451,0.0321,9580.4177,255.0,1
742.578,0.0024,0.1451,-0.0271,9582.7739,255.0,1
742.588,0.0024,0.1014,-0.0129,9585.1301,224.29,1
742.599,0.0035,0.204,0.023,9587.4863,255.0,1
742.609,0.0024,-0.1276,-0.036,9589.9734,-133.95,1
742.619,0.0024,-0.0382,0.0101,9592.3296,84.82,1
742.628,0.0035,-0.0382,0.0199,9594.8167,89.8,1
742.638,0.0013,0.0993,-0.0438,9597.3038,217.68,1
742.649,0.0035,0.1494,0.0265,9599.66,255.0,1
742.659,0.0024,-0.0622,-0.0295,9602.147,-69.02,1
742.669,0.0013,-0.1353,-0.0199,9604.5032,-147.04,1
742.678,0.0024,-0.1353,-0.0108,9606.9903,-142.15,1
742.688,0.0013,0.1124,-0.0298,9609.4774,231.02,1
742.699,0.0013,0.0938,0.0173,9611.8336,212.45,1
742.709,0.0024,0.0709,0.0157,9614.3207,194.43,1
742.719,0.0013,-0.1036,0.0033,9616.6769,-115.58,1
742.728,0.0024,-0.1036,0.0305,9619.164,-110.67,1
742.738,0.0013,0.1167,-0.0461,9621.6511,235.47,1
742.749,0.0024,0.0524,-0.0077,9624.0073,175.98,1
742.759,0.0035,0.1298,-0.0291,9626.4944,255.0,1
742.769,0.0024,-0.1233,-0.0208,9628.9815,-130.58,1
742.778,0.0035,-0.1233,0.0262,9631.4686,-125.8,1
742.789,0.0035,0.1244,-0.0016,9633.8248,253.04,1
742.799,0.0024,-0.0251,0.0129,9636.3119,98.62,1
742.809,0.0046,0.2116,0.0209,9638.799,255.0,1
742.819,0.0035,-0.1069,-0.0443,9641.1552,-109.38,1
742.829,0.0035,-0.1069,0.0326,9643.6422,-109.32,1
742.839,0.0046,0.0589,-0.0445,9646.1293,192.54,1
742.849,0.0035,-0.0731,-0.015,9648.6164,-75.76,1
742.859,0.0057,0.1844,0.0412,9651.1035,255.0,1
742.87,0.0046,-0.0644,-0.0215,9653.5906,69.54,1
742.879,0.0057,-0.0644,0.0248,9655.9468,74.32,1
742.889,0.0057,0.0764,0.0026,9658.4339,214.93,1
742.9,0.0046,-0.1178,-0.0391,9660.921,-115.64,1
742.91,0.0068,0.2029,0.0192,9663.4081,255.0,1
742.92,0.0068,-0.0382,-0.0468,9665.8952,105.54,1
742.93,0.0068,-0.0033,0.0031,9668.3823,140.5,1
742.94,0.0079,0.1364,0.0328,9670.8694,255.0,1
742.95,0.0068,-0.1091,-0.0164,9673.3565,-97.42,1
742.96,0.0079,0.156,0.0457,9675.8436,255.0,1
742.97,0.0089,0.012,-0.0358,9678.3307,165.72,1
742.979,0.0079,-0.0578,0.0356,9680.8178,91.01,1
742.989,0.01,0.1734,-0.0143,9683.3049,255.0,1
743.0,0.0089,-0.1058,-0.0347,9685.792,-84.46,1
743.01,0.01,0.0993,0.0278,9688.4099,255.0,1
743.02,0.01,0.0349,-0.044,9690.897,193.94,1
743.029,0.0089,0.0349,0.0119,9693.3841,188.97,1
743.04,0.0111,0.1593,0.0281,9695.8712,255.0,1
743.05,0.01,-0.12,-0.0508,9698.4892,-94.18,1
743.06,0.01,0.0611,0.0449,9700.9763,220.3,1
743.07,0.01,0.0044,-0.0515,9703.5943,163.68,1
743.079,0.0089,0.0044,-0.0182,9706.0814,158.85,1
743.089,0.0111,0.144,0.0534,9708.6994,255.0,1
743.1,0.01,-0.1069,-0.0281,9711.1865,-81.56,1
743.11,0.01,0.0589,0.0565,9713.8045,218.48,1
743.12,0.01,-0.0164,-0.037,9716.2916,143.25,1
743.13,0.0089,-0.0164,0.0497,9718.9096,138.37,1
743.14,0.01,0.1418,-0.0182,9721.5276,255.0,1
743.15,0.0089,-0.12,-0.0389,9724.0147,-99.92,1
743.16,0.01,0.0469,0.0396,9726.6327,206.74,1
743.17,0.0089,-0.0349,-0.0429,9729.1197,120.01,1
743.18,0.0089,-0.0349,0.0267,9731.7377,120.0,1
743.19,0.01,0.1189,0.0122,9734.3557,255.0,1
743.2,0.0089,-0.1069,-0.0524,9736.9737,-87.17,1
743.21,0.01,0.0742,0.022,9739.5917,234.46,1
743.221,0.0089,-0.0382,-0.0511,9742.0788,117.1,1
743.23,0.0089,-0.0305,-0.0012,9744.6968,124.66,1
743.24,0.01,0.0687,0.0457,9747.3148,228.97,1
743.25,0.0089,-0.0971,0.0115,9749.9328,-77.6,1
743.26,0.01,0.1124,0.0375,9752.5508,255.0,1
743.271,0.0089,-0.0567,-0.0539,9755.0379,98.69,1
743.28,0.0089,-0.0044,0.0569,9757.7868,151.14,1
743.29,0.0089,0.0273,-0.0592,9760.4048,183.05,1
743.301,0.0089,-0.0785,-0.0093,9763.0228,77.27,1
743.311,0.01,0.1102,0.0517,9765.6408,255.0,1
743.321,0.0089,-0.0753,-0.0206,9768.2588,80.59,1
743.33,0.01,0.0644,0.0599,9770.8768,225.14,1
743.341,0.0089,-0.0196,-0.0585,9773.4947,136.25,1
743.351,0.0089,-0.0338,-0.0141,9776.1127,122.07,1
743.361,0.01,0.0796,-0.0504,9778.8616,240.64,1
743.371,0.0089,-0.0807,-0.0232,9781.4796,75.55,1
743.38,0.01,0.0884,0.0599,9784.0976,249.48,1
743.39,0.0089,-0.0545,-0.0531,9786.7156,101.62,1
743.401,0.0089,0.0,0.0559,9789.3336,156.11,1
743.411,0.01,0.0164,-0.0518,9792.0825,177.55,1
743.421,0.0089,-0.0687,-0.0246,9794.7005,87.7,1
743.431,0.01,0.0938,0.0604,9797.4494,255.0,1
743.441,0.0089,-0.0774,-0.0236,9800.0674,79.18,1
743.451,0.01,0.0785,0.0578,9802.8163,240.15,1
743.461,0.0089,-0.0491,-0.0511,9805.4343,107.68,1
743.471,0.0089,-0.0295,0.0611,9808.1832,127.36,1
743.481,0.0089,0.0305,-0.0559,9810.8012,187.4,1
743.491,0.0089,-0.0851,-0.0204,9813.4192,71.6,1
743.501,0.0089,0.0753,0.0569,9816.168,232.01,1
743.511,0.0089,-0.084,-0.0239,9818.9169,73.01,1
743.521,0.0089,0.048,0.0628,9821.5349,205.01,1
743.531,0.0089,-0.0436,-0.0593,9824.2838,113.38,1
743.541,0.0079,-0.0338,-0.0106,9827.0327,118.5,1
743.551,0.0089,0.048,-0.0529,9829.6507,205.18,1
743.561,0.0079,-0.0633,-0.0195,9832.3996,88.98,1
743.571,0.0089,0.084,0.0621,9835.1485,241.33,1
743.581,0.0079,0.084,-0.0642,9837.7665,236.37,1
743.591,0.0089,0.072,0.0403,9840.6463,229.44,1
743.601,0.0089,-0.0175,-0.0508,9843.2643,140.12,1
743.611,0.0089,-0.0033,-0.0096,9846.0132,154.2,1
743.622,0.0089,0.0185,-0.0658,9848.7621,176.14,1
743.631,0.0079,-0.0567,0.0175,9851.511,96.07,1
743.641,0.0089,0.0982,0.0251,9854.2599,255.0,1
743.652,0.0079,-0.1091,-0.0485,9857.0088,-97.26,1
743.662,0.0089,0.0349,0.0272,9859.7576,192.82,1
743.672,0.0079,-0.036,-0.0567,9862.5065,117.05,1
743.681,0.0079,-0.0218,0.0307,9865.2554,131.27,1
743.692,0.0079,0.0316,-0.0,9868.0043,184.75,1
743.702,0.0079,-0.0022,0.0333,9870.7532,150.96,1
743.712,0.0089,0.0731,-0.0077,9873.5021,231.16,1
743.722,0.0079,-0.0589,-0.0454,9876.251,94.27,1
743.731,0.0089,0.1091,0.0503,9878.9999,255.0,1
743.742,0.0089,-0.0371,-0.0354,9881.7488,121.02,1
743.752,0.01,0.0491,0.0574,9884.4977,212.11,1
743.762,0.01,0.0251,-0.0429,9887.2466,188.12,1
743.772,0.01,-0.0055,0.056,9890.1264,157.79,1
743.782,0.01,0.0545,-0.0494,9892.8753,217.97,1
743.792,0.01,-0.0371,-0.025,9895.6242,126.28,1
743.802,0.0111,0.0993,0.0634,9898.3731,255.0,1
743.812,0.01,-0.0556,-0.0,9901.2528,107.85,1
743.822,0.0111,0.0764,0.0405,9904.0017,244.89,1
743.832,0.0111,-0.0295,-0.0508,9906.7506,138.98,1
743.842,0.0111,0.0109,-0.0033,9909.6304,179.47,1
743.852,0.0111,-0.0011,-0.0606,9912.3793,167.58,1
743.862,0.0111,-0.0033,0.0319,9915.2591,165.49,1
743.872,0.0111,0.0589,-0.0038,9918.1389,227.96,1
743.882,0.0111,-0.0524,-0.0387,9920.8878,116.72,1
743.892,0.0122,0.0818,-0.0188,9923.7676,255.0,1
743.902,0.0111,-0.0524,-0.0372,9926.5165,116.76,1
743.912,0.0122,0.0654,0.0543,9929.3963,239.49,1
743.922,0.0111,-0.0404,-0.0276,9932.2761,129.0,1
743.932,0.0122,0.0185,0.0656,9935.025,192.78,1
743.942,0.0111,-0.0273,-0.0658,9937.9048,142.03,1
743.952,0.0111,0.0011,0.0031,9940.7846,170.59,1
743.962,0.0122,0.0316,-0.0485,9943.5334,205.99,1
743.973,0.0111,-0.0382,0.0051,9946.4132,131.22,1
743.982,0.0122,0.0654,0.0236,9949.293,239.94,1
743.992,0.0111,-0.0753,-0.0557,9952.1728,94.47,1
744.002,0.0122,0.0644,-0.0216,9955.0526,239.13,1
744.013,0.0111,-0.0676,-0.0351,9957.9324,102.33,1
744.023,0.0122,0.0458,0.0555,9960.8122,220.77,1
744.032,0.0111,-0.0404,-0.0469,9963.692,129.76,1
744.043,0.0122,0.0415,0.0506,9966.5718,216.54,1
744.053,0.0111,-0.0349,-0.0527,9969.4516,135.32,1
744.063,0.0111,-0.0044,-0.0047,9972.3314,165.9,1
744.073,0.0111,0.0185,-0.0572,9975.2112,188.84,1
744.083,0.0111,-0.0491,0.0335,9978.2219,121.46,1
744.093,0.0122,0.0622,-0.0424,9981.1017,237.84,1
744.103,0.0111,-0.0567,-0.0424,9983.9815,113.98,1
744.113,0.0122,0.0829,-0.0393,9986.8612,255.0,1
744.123,0.0111,-0.0458,-0.0234,9989.741,124.8,1
744.133,0.0122,0.0774,0.0525,9992.7517,253.17,1
744.143,0.0122,-0.0316,-0.0557,9995.6315,144.25,1
744.153,0.0122,0.0393,0.0342,9998.5113,215.06,1
744.163,0.0122,-0.0545,-0.059,10001.3911,121.17,1
744.173,0.0122,0.0447,-0.0173,10004.4018,220.6,1
744.183,0.0122,-0.0295,-0.0173,10007.2816,146.56,1
744.193,0.0122,-0.0022,-0.0496,10010.2923,173.94,1
744.203,0.0122,0.0207,-0.0131,10013.1721,196.94,1
744.213,0.0111,-0.0491,-0.0576,10016.1828,122.29,1
744.223,0.0122,0.0567,0.0166,10019.0626,233.08,1
744.233,0.0111,-0.06,0.0089,10022.0733,111.5,1
744.243,0.0122,0.0785,-0.0487,10024.9531,254.99,1
744.253,0.0122,-0.0535,-0.0358,10027.9638,123.03,1
744.263,0.0122,0.0753,-0.0232,10030.9744,252.01,1
744.273,0.0122,-0.0502,0.0541,10033.8542,126.55,1
744.283,0.0122,0.0556,-0.06,10036.8649,232.35,1
744.293,0.0122,-0.0524,0.0176,10039.8756,124.58,1
744.303,0.0122,0.06,-0.0522,10042.8863,237.12,1
744.313,0.0122,-0.0665,0.0461,10045.897,110.73,1
744.324,0.0122,0.048,-0.033,10048.7768,225.16,1
744.333,0.0122,-0.0404,-0.033,10051.7875,136.71,1
744.343,0.0122,-0.0011,-0.0588,10054.7982,176.14,1
744.353,0.0122,-0.0087,0.0113,10057.8089,168.64,1
744.363,0.0122,-0.0022,-0.0506,10060.8196,175.29,1
744.374,0.0122,0.012,0.0473,10063.8303,189.56,1
744.384,0.0122,-0.0273,0.0473,10066.841,150.37,1
744.394,0.0122,0.0567,-0.0218,10069.8517,234.42,1
744.404,0.0122,-0.0458,-0.0585,10072.8623,131.93,1
744.414,0.0133,0.0862,0.0182,10075.873,255.0,1
744.424,0.0122,-0.0491,0.0073,10079.0146,128.98,1
744.434,0.0133,0.0949,-0.0483,10082.0253,255.0,1
744.444,0.0133,-0.0502,-0.0447,10085.036,132.97,1
744.454,0.0133,0.0851,-0.0117,10088.0467,255.0,1
744.464,0.0133,-0.0589,0.0417,10091.1883,124.41,1
744.474,0.0144,0.0829,-0.0595,10094.199,255.0,1
744.484,0.0133,-0.0644,-0.0108,10097.2097,119.02,1
744.494,0.0144,0.0807,-0.0361,10100.3513,255.0,1
744.504,0.0133,-0.0764,0.0565,10103.362,107.31,1
744.514,0.0144,0.0764,0.0103,10106.3727,255.0,1
744.524,0.0133,-0.0796,0.0211,10109.5143,104.03,1
744.534,0.0144,0.0589,-0.0572,10112.525,247.59,1
744.544,0.0133,-0.0731,0.0518,10115.6665,110.78,1
744.554,0.0133,0.0502,-0.0101,10118.8081,234.36,1
744.564,0.0133,-0.0829,0.0382,10121.8188,101.3,1
744.574,0.0133,0.0524,-0.0578,10124.9604,236.58,1
744.584,0.0122,-0.0807,-0.0578,10128.102,98.85,1
744.594,0.0133,0.0316,-0.0272,10131.2436,216.33,1
744.604,0.0122,-0.0644,0.0546,10134.2543,115.35,1
744.614,0.0122,0.0229,-0.0637,10137.3959,202.56,1
744.624,0.0122,-0.0447,0.0258,10140.5375,135.13,1
744.634,0.0122,0.0349,0.0258,10143.6791,214.93,1
744.644,0.0122,-0.036,0.0564,10146.8207,144.16,1
