timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
61.413,-0.0031,-1.5625,-0.22,-2086.1484,-255.0,1
61.425,-0.0009,12.0,-0.23,-2085.2321,255.0,1
61.434,-0.0009,1.0625,0.1,-2084.3158,-48.7,1
61.444,-0.0009,-0.8125,-0.45,-2083.5304,-236.1,1
61.453,0.0013,17.0,-0.0,-2082.6141,255.0,1
61.463,0.0024,2.9375,-0.1,-2081.8287,250.38,1
61.475,0.0024,-0.6875,-0.16,-2080.9124,-208.67,1
61.484,0.0046,15.875,0.1,-2079.9961,255.0,1
61.495,0.0068,9.5625,-0.37,-2079.0798,255.0,1
61.503,0.0057,-1.8125,-0.42,-2078.1635,-255.0,1
61.513,0.0079,11.6875,0.3,-2077.2472,255.0,1
61.525,0.01,14.6875,-0.38,-2076.4618,255.0,1
61.535,0.01,-4.0,-0.11,-2075.5455,-255.0,1
61.545,0.0111,6.5,0.05,-2074.6292,255.0,1
61.553,0.0133,13.6875,-0.09,-2073.5821,255.0,1
61.563,0.0133,-1.8125,-0.49,-2072.6658,-255.0,1
61.575,0.0144,9.75,-0.33,-2071.7495,255.0,1
61.585,0.0166,13.4375,-0.01,-2070.9641,255.0,1
61.595,0.0177,1.8125,-0.17,-2070.0478,206.82,1
61.604,0.0188,7.25,-0.4,-2069.1315,255.0,1
61.614,0.0209,14.875,-0.28,-2068.0843,255.0,1
61.625,0.0209,-0.1875,-0.44,-2067.0371,-75.43,1
61.635,0.0209,6.125,0.09,-2066.1208,255.0,1
61.645,0.0231,14.375,0.21,-2065.2045,255.0,1
61.654,0.0242,5.125,0.13,-2064.1573,255.0,1
61.664,0.0242,2.875,-0.19,-2063.241,255.0,1
61.676,0.0264,7.125,-0.26,-2062.1938,255.0,1
61.685,0.0264,1.5,-0.3,-2061.1466,215.53,1
61.695,0.0264,2.1875,-0.14,-2060.0994,255.0,1
61.704,0.0275,6.5,0.27,-2059.0522,255.0,1
61.714,0.0286,2.4375,-0.44,-2058.005,255.0,1
61.726,0.0286,-0.0625,-0.03,-2056.9578,69.46,1
61.735,0.0286,0.0625,-0.33,-2055.7797,82.11,1
61.746,0.0275,-2.25,0.13,-2054.6016,-252.94,1
61.754,0.0275,-2.6875,-0.34,-2053.5544,-255.0,1
61.764,0.0275,0.3125,-0.22,-2052.3763,102.58,1
61.775,0.0275,2.875,-0.18,-2051.3291,255.0,1
61.785,0.0275,0.0625,0.09,-2050.2819,77.62,1
61.796,0.0286,5.625,-0.25,-2049.2347,255.0,1
61.804,0.0297,3.75,0.15,-2048.0566,255.0,1
61.814,0.0297,2.8125,-0.53,-2047.0094,255.0,1
61.826,0.0319,12.9375,0.13,-2045.8313,255.0,1
61.836,0.034,12.0625,-0.12,-2044.7841,255.0,1
61.846,0.034,-0.6875,-0.44,-2043.606,-67.4,1
61.854,0.0351,4.4375,0.05,-2042.4279,255.0,1
61.864,0.0362,9.125,0.2,-2041.2498,255.0,1
61.876,0.0373,5.8125,0.02,-2040.0717,255.0,1
61.886,0.0384,6.8125,-0.2,-2038.8936,255.0,1
61.896,0.0395,7.3125,-0.05,-2037.7155,255.0,1
61.904,0.0395,1.875,-0.54,-2036.4065,255.0,1
61.914,0.0406,4.625,-0.11,-2035.0975,255.0,1
61.926,0.0417,6.6875,-0.05,-2033.9194,255.0,1
61.936,0.0428,4.6875,-0.31,-2032.6104,255.0,1
61.946,0.0428,3.375,0.12,-2031.3014,255.0,1
61.955,0.0439,3.25,-0.08,-2029.9925,255.0,1
61.965,0.0439,2.25,-0.15,-2028.6835,255.0,1
61.976,0.0449,3.0,-0.12,-2027.3745,255.0,1
61.987,0.0449,3.25,0.03,-2026.0655,255.0,1
61.996,0.046,1.8125,-0.33,-2024.6256,255.0,1
62.005,0.046,0.75,0.2,-2023.1857,232.22,1
62.015,0.046,2.25,-0.33,-2021.7458,255.0,1
62.026,0.046,2.6875,-0.33,-2020.4368,255.0,1
62.036,0.0471,1.1875,0.22,-2018.9969,255.0,1
62.046,0.0471,0.4375,-0.43,-2017.557,206.41,1
62.055,0.0471,1.875,0.17,-2016.1171,255.0,1
62.065,0.0471,1.9375,0.1,-2014.6772,255.0,1
62.076,0.0471,0.8125,-0.61,-2013.1064,244.38,1
62.086,0.0471,0.8125,0.25,-2011.6665,244.56,1
62.096,0.0482,1.6875,-0.0,-2010.0957,255.0,1
62.105,0.0482,1.9375,-0.14,-2008.6558,255.0,1
62.115,0.0493,3.6875,-0.24,-2007.085,255.0,1
62.127,0.0493,0.5625,0.12,-2005.5142,229.98,1
62.136,0.0482,-1.0,0.43,-2003.9434,69.0,1
62.147,0.0493,4.6875,-0.29,-2002.3726,255.0,1
62.155,0.0504,7.875,-0.19,-2000.8018,255.0,1
62.165,0.0504,0.3125,-0.36,-1999.231,210.45,1
62.177,0.0515,0.75,0.46,-1997.5293,255.0,1
62.187,0.0526,6.875,-0.3,-1995.9585,255.0,1
62.197,0.0537,7.875,-0.09,-1994.3877,255.0,1
62.205,0.0548,5.875,-0.54,-1992.686,255.0,1
62.215,0.0559,5.0,0.51,-1990.9843,255.0,1
62.227,0.0559,6.0625,-0.26,-1989.4135,255.0,1
62.237,0.058,12.1875,-0.12,-1987.7119,255.0,1
62.247,0.0602,8.4375,-0.21,-1986.0102,255.0,1
62.255,0.0602,2.625,0.66,-1984.3085,255.0,1
62.266,0.0624,11.9375,-0.19,-1982.4759,255.0,1
62.277,0.0646,15.3125,-0.66,-1980.7742,255.0,1
62.287,0.0657,6.6875,-0.36,-1978.9416,255.0,1
62.297,0.0678,8.5625,0.04,-1977.2399,255.0,1
62.306,0.0711,19.125,0.19,-1975.4073,255.0,1
62.316,0.0733,15.9375,-0.68,-1973.7056,255.0,1
62.327,0.0744,8.0,0.52,-1971.873,255.0,1
62.337,0.0777,17.1875,-0.41,-1970.0404,255.0,1
62.347,0.082,25.25,-0.43,-1968.2078,255.0,1
62.356,0.0842,14.125,0.35,-1966.2443,255.0,1
62.366,0.0875,15.4375,0.12,-1964.4117,255.0,1
62.377,0.0918,29.6875,-0.04,-1962.5791,255.0,1
62.387,0.0973,29.625,-0.32,-1960.6156,255.0,1
62.397,0.1006,18.125,-0.28,-1958.783,255.0,1
62.406,0.1049,31.25,-0.3,-1956.8195,255.0,1
62.416,0.1126,41.875,-0.9,-1954.856,255.0,1
62.427,0.1169,29.625,0.15,-1952.8925,255.0,1
62.437,0.1224,32.0625,-0.51,-1950.929,255.0,1
62.447,0.1322,52.25,-0.75,-1948.9655,255.0,1
62.456,0.1398,50.1875,0.27,-1947.002,255.0,1
62.466,0.1475,40.3125,0.57,-1945.0386,255.0,1
62.478,0.1573,59.625,-0.6,-1942.9442,255.0,1
62.487,0.1693,69.6875,0.3,-1940.9807,255.0,1
62.498,0.1791,58.75,0.58,-1938.8863,255.0,1
62.506,0.1911,72.25,-0.68,-1936.9228,255.0,1
62.516,0.2064,89.625,0.26,-1934.8284,255.0,1
