timestamp(s),angle,velocity,acceleration,wheel_angle,pwm,user_free
431.857,0.0733,4.625,0.04,-11391.0223,255.0,1
431.867,0.0744,7.5625,0.03,-11390.2369,255.0,1
431.877,0.0755,6.1875,-0.09,-11389.3206,255.0,1
431.885,0.0766,2.3125,-0.0,-11388.5352,255.0,1
431.895,0.0766,3.1875,-0.18,-11387.6189,255.0,1
431.906,0.0777,3.75,-0.03,-11386.7026,255.0,1
431.917,0.0777,2.5625,0.29,-11385.7863,255.0,1
431.927,0.0788,3.75,-0.14,-11384.87,255.0,1
431.935,0.0798,6.8125,0.13,-11383.9537,255.0,1
431.945,0.0809,4.8125,-0.15,-11383.0374,255.0,1
431.957,0.0809,4.6875,-0.06,-11382.1211,255.0,1
431.967,0.082,3.625,0.23,-11381.0739,255.0,1
431.977,0.0831,3.625,0.13,-11380.1576,255.0,1
431.986,0.0831,4.4375,0.22,-11379.1104,255.0,1
431.996,0.0842,5.3125,-0.19,-11378.0632,255.0,1
432.007,0.0853,8.4375,-0.09,-11377.016,255.0,1
432.017,0.0864,4.3125,-0.02,-11375.9688,255.0,1
432.027,0.0875,6.25,0.18,-11374.9216,255.0,1
432.036,0.0886,4.5,-0.4,-11373.8744,255.0,1
432.046,0.0897,6.6875,0.24,-11372.6963,255.0,1
432.057,0.0908,7.8125,-0.23,-11371.6491,255.0,1
432.067,0.0918,9.4375,0.46,-11370.6019,255.0,1
432.077,0.094,10.6875,-0.2,-11369.4238,255.0,1
432.086,0.0951,6.125,0.06,-11368.2457,255.0,1
432.096,0.0973,9.75,-0.22,-11367.0676,255.0,1
432.108,0.0984,9.3125,0.33,-11365.8895,255.0,1
432.118,0.1006,14.125,-0.21,-11364.7114,255.0,1
432.127,0.1028,13.625,-0.1,-11363.5333,255.0,1
432.136,0.106,15.5625,-0.1,-11362.3552,255.0,1
432.146,0.1082,12.3125,0.09,-11361.1771,255.0,1
432.158,0.1104,15.5625,0.12,-11359.8681,255.0,1
432.167,0.1137,19.125,0.1,-11358.5591,255.0,1
432.178,0.1169,21.875,0.17,-11357.381,255.0,1
432.186,0.1213,22.0,-0.09,-11356.072,255.0,1
432.196,0.1246,21.25,-0.11,-11354.8939,255.0,1
432.208,0.1289,24.625,0.14,-11353.4541,255.0,1
432.217,0.1333,29.375,-0.01,-11352.1451,255.0,1
432.227,0.1398,33.1875,0.23,-11350.8361,255.0,1
432.236,0.1453,34.4375,0.12,-11349.5271,255.0,1
432.246,0.1508,34.625,-0.14,-11348.0872,255.0,1
432.258,0.1584,39.6875,-0.04,-11346.7782,255.0,1
432.268,0.166,47.1875,0.06,-11345.4692,255.0,1
432.278,0.1748,52.1875,-0.16,-11344.0293,255.0,1
432.286,0.1835,52.375,0.41,-11342.5894,255.0,1
432.296,0.1933,56.0625,-0.46,-11341.1495,255.0,1
432.308,0.2042,65.6875,0.07,-11339.7096,255.0,1
